ID_LABEL1,Date Ordered,ID #,Format,Pub Status,Pub Status Description,SRDP,Order Disc Class,Product Class,Quantity Ordered,Order Price,Disc Pct,Line Amount
124,12/1/15,2,C,1,Active Title,,124ND,UCTECH,1,72,100,0
124,11/3/16,2,C,1,Active Title,,124ND,UCTECH,1,72,100,0
124,7/23/18,2,C,1,Active Title,,124ND,UCTECH,2,72,0,144
124,8/15/18,2,C,1,Active Title,,124ND,UCTECH,14,72,0,"1,008.00"
124,8/3/16,2,C,1,Active Title,,124ND,UCTECH,1,72,0,72
124,6/16/16,2,C,1,Active Title,,124ND,UCTECH,1,72,100,0
124,5/6/16,2,C,1,Active Title,,124ND,UCTECH,100,72,0,"7,200.00"
124,5/30/18,2,C,1,Active Title,,124ND,UCTECH,1,72,0,72
124,7/26/18,2,C,1,Active Title,,124ND,UCTECH,1,72,0,72
124,2/9/16,2,C,1,Active Title,,124ND,UCTECH,1,72,100,0
124,7/14/15,2,C,1,Active Title,,124ND,UCTECH,55,72,0,"3,960.00"
124,7/28/15,2,C,1,Active Title,,124ND,UCTECH,35,72,0,"2,520.00"
124,11/6/18,2,C,1,Active Title,,124ND,UCTECH,1,72,100,0
124,12/3/15,2,C,1,Active Title,,124ND,UCTECH,1,72,100,0
124,7/12/18,2,C,1,Active Title,,124ND,UCTECH,1,72,100,0
124,7/30/15,2,C,1,Active Title,,124ND,UCTECH,22,72,0,"1,584.00"
124,7/12/18,2,C,1,Active Title,,124ND,UCTECH,1,72,100,0
124,8/27/15,2,C,1,Active Title,,124ND,UCTECH,1,72,,72
124,8/10/18,2,C,1,Active Title,,124ND,UCTECH,2,72,0,144
124,2/1/16,2,C,1,Active Title,,124ND,UCTECH,2,72,100,0
124,4/5/17,2,C,1,Active Title,,124ND,UCTECH,1,72,100,0
124,4/5/17,2,C,1,Active Title,,124ND,UCTECH,1,72,100,0
124,4/5/17,2,C,1,Active Title,,124ND,UCTECH,1,72,100,0
124,1/21/16,2,C,1,Active Title,,124ND,UCTECH,1,72,0,72
124,12/20/16,2,C,1,Active Title,,124ND,UCTECH,1,72,100,0
124,12/20/16,2,C,1,Active Title,,124ND,UCTECH,1,10,0,10
124,1/3/19,2,C,1,Active Title,,124ND,UCTECH,1,72,100,0
124,1/3/19,2,C,1,Active Title,,124ND,UCTECH,1,72,100,0
124,8/17/16,2,C,1,Active Title,,124ND,UCTECH,30,72,0,"2,160.00"
124,11/11/16,2,C,1,Active Title,,124ND,UCTECH,1,72,100,0
124,9/16/15,2,C,1,Active Title,,124ND,UCTECH,1,72,0,72
124,3/12/18,2,C,1,Active Title,,124ND,UCTECH,1,72,100,0
124,7/23/15,2,C,1,Active Title,,124ND,UCTECH,1,36,0,36
124,10/11/18,2,C,1,Active Title,,124ND,UCTECH,1,72,100,0
124,9/21/17,2,C,1,Active Title,,124ND,UCTECH,-8,72,0,-576
124,9/7/16,3,ROM,1,Active Title,,124ND,UCTECH,1,119,0,119
124,5/8/15,3,ROM,1,Active Title,,124ND,UCTECH,1,199,0,199
124,5/22/18,3,ROM,1,Active Title,,124ND,UCTECH,1,119,0,119
124,9/18/14,3,ROM,1,Active Title,,124ND,UCTECH,1,229,0,229
124,8/3/17,3,ROM,1,Active Title,,124ND,UCTECH,4,49,0,196
124,3/12/15,3,ROM,1,Active Title,,124ND,UCTECH,1,199,100,0
124,8/25/17,3,ROM,1,Active Title,,124ND,UCTECH,1,119,0,119
124,8/29/14,3,ROM,1,Active Title,,124ND,UCTECH,1,229,100,0
124,9/16/16,3,ROM,1,Active Title,,124ND,UCTECH,-1,119,0,-119
124,9/22/16,3,ROM,1,Active Title,,124ND,UCTECH,1,119,,119
124,11/9/15,3,ROM,1,Active Title,,124ND,UCTECH,2,119,0,238
124,1/14/16,3,ROM,1,Active Title,,124ND,UCTECH,-1,119,,-119
124,1/9/19,3,ROM,1,Active Title,,124ND,UCTECH,1,119,,119
124,8/9/18,3,ROM,1,Active Title,,124ND,UCTECH,2,99,0,198
124,9/24/14,3,ROM,1,Active Title,,124ND,UCTECH,1,99,0,99
124,7/27/15,3,ROM,1,Active Title,,124ND,UCTECH,1,199,0,199
124,6/2/17,3,ROM,1,Active Title,,124ND,UCTECH,2,119,100,0
124,3/28/19,3,ROM,1,Active Title,,124ND,UCTECH,1,119,0,119
124,6/15/16,3,ROM,1,Active Title,,124ND,UCTECH,1,119,100,0
124,2/19/19,3,ROM,1,Active Title,,124ND,UCTECH,1,119,0,119
124,8/10/15,3,ROM,1,Active Title,,124ND,UCTECH,1,119,0,119
124,10/9/14,3,ROM,1,Active Title,,124ND,UCTECH,-1,99,0,-99
124,8/19/16,3,ROM,1,Active Title,,124ND,UCTECH,1,119,,119
124,6/24/15,3,ROM,1,Active Title,,124ND,UCTECH,1,199,0,199
124,6/15/16,3,ROM,1,Active Title,,124ND,UCTECH,-1,119,0,-119
124,8/18/15,3,ROM,1,Active Title,,124ND,UCTECH,1,119,,119
124,12/12/14,3,ROM,1,Active Title,,124ND,UCTECH,1,229,0,229
124,12/16/14,3,ROM,1,Active Title,,124ND,UCTECH,1,229,0,229
124,6/28/16,3,ROM,1,Active Title,,124ND,UCTECH,1,119,100,0
124,7/9/18,3,ROM,1,Active Title,,124ND,UCTECH,2,119,100,0
124,8/10/15,3,ROM,1,Active Title,,124ND,UCTECH,-1,199,0,-199
124,5/6/16,3,ROM,1,Active Title,,124ND,UCTECH,1,119,0,119
124,8/24/16,3,ROM,1,Active Title,,124ND,UCTECH,1,119,0,119
124,8/20/15,3,ROM,1,Active Title,,124ND,UCTECH,1,119,0,119
124,8/20/15,3,ROM,1,Active Title,,124ND,UCTECH,1,119,0,119
124,7/23/15,3,ROM,1,Active Title,,124ND,UCTECH,2,199,100,0
124,9/7/16,4,P,1,Active Title,,124ND,UCTECH,1,89,0,89
124,1/7/15,4,P,1,Active Title,,124ND,UCTECH,1,82,0,82
124,11/29/18,4,P,1,Active Title,,124ND,UCTECH,1,89,0,89
124,3/6/19,4,P,1,Active Title,,124ND,UCTECH,1,89,100,0
124,6/22/15,4,P,1,Active Title,,124ND,UCTECH,1,89,0,89
124,8/15/14,4,P,1,Active Title,,124ND,UCTECH,1,82,0,82
124,5/8/15,4,P,1,Active Title,,124ND,UCTECH,1,89,0,89
124,8/24/17,4,P,1,Active Title,,124ND,UCTECH,1,89,0,89
124,5/22/18,4,P,1,Active Title,,124ND,UCTECH,1,89,0,89
124,7/27/16,4,P,1,Active Title,,124ND,UCTECH,1,89,0,89
124,7/17/18,4,P,1,Active Title,,124ND,UCTECH,1,89,0,89
124,3/22/18,4,P,1,Active Title,,124ND,UCTECH,1,89,0,89
